course_id,professor,review_text,project_heavy,exam_heavy,homework_heavy,time_consuming,notes,confidence,labeled_by
CMSC330,Cliff Bakalian,"PROJECTS 3-5 ARE BAD, START EARLY.",1,0,0,1,"Clear project-heavy signal. Starting early suggests meaningful time commitment.",High,Abhiram
CMSC330,Anwar Mamat,"The projects were hard because ocaml is really annoying.",1,0,0,1,"Clear project-heavy signal. Time-consuming is supported because the review says the projects were hard.",High,Abhiram
CMSC330,Cliff Bakalian,"PLEASE START PROJECT 5 EARLY.",1,0,0,1,"project-heavy time-consuming signal because as review warns students to start a project early.",High,Abhiram
CMSC330,Anwar Mamat,"Projects were fairly difficult but that's CS for ya. Also, exams were actually weighted relatively lightly compared to projects.",1,0,0,0,"Projects are mentioned as difficult, but nothing explicitly says they required a lot of time.",Medium,Abhiram
CMSC351,Clyde Kruskal,"the class is very exam-heavy. And that too only 3 exams that make up 83% of your grade. That's very stressful.",0,1,0,1,"exam heavy mentioned and time consuming and STRESS clearly said",High,Abhiram
CMSC351,Clyde Kruskal,"The tests are actually pretty easy because the questions are very similar to the hw he gives. However, most people don’t learn anything due to lectures being in the form of videos on panapto, causing very low test scores.",0,1,1,0,"exam-heavy as tests and scores mentioned. hw heavy is decent because test qs similar to hw",Medium,Abhiram 
CMSC351,Clyde Kruskal,"The exams are graded extremely harshly.",0,1,0,0,"Exam-heavy signal, and we can use harsh grading as a possible future risk modifier.",High,Sriram
CMSC351,Clyde Kruskal,"This class is basically all self taught. The exams are extremely difficult and the rubric is very unreasonable.",0,1,0,1,"Exam-heavy and time-consuming signal. Also suggests self-learning and harsh grading as future risk modifiers.",High,Sriram
STAT400,Hatice Sahinoglu,"the exams required A LOT of studying, more than all my other classes put together.",0,1,0,1,"exam heavy and time consuming signaled",High,Abhiram
STAT400,David Pincus,"His exams are much more challenging than the homework's so it is really hard to practice doing problems with exam level difficulty.",0,1,1,0,"Exam-heavy signal as exams are described more challenging than homework. Homework heavy partial support as homework is mentioned as practice.",Medium,Sriram