review_id,course,professor,year,rating,review_text,project_heavy,exam_heavy,homework_heavy,time_consuming,self_learning_required,harsh_grading,disorganized_course,fair_but_strict,evidence_snippet,label_rationale
CMSC216_475,CMSC216,Christopher Kauffman,2026,5,"intro: insanely passionate professor that is always working on the class and how it works, pretty cool in general pros: - open note exams - fun lecturer that records lectures (i mainly had to watch but he is good) - good on answering questions, being available to students, even goes on piazza every now and then - gradescope homeworks that are quizzes, can retake - labs are useful to content - projects are fair, mostly public tests then manual inspection - extra credit available based on class engagement and some other small factors which helps with grades - constantly looks for feedback through surveys - piazza is good, incentive to discuss and engage with each other, prof will be on there at times - besides recordings/slides/example code, other things are also posted and are available for use - practice exam reviews a bit of the content, it is reviewed in lecture before exam (good overall) - makeup credit available on projects in a way - TAs are pretty helpful neutral - flow of class/content/lectures expects you to be on top of work constantly rather than doing it last minute including him asking questions in lecture to class - ""required"" textbook, available online when I took class, reading it is not actually necessary but it seems like very good supplemental material - discussion section not necessary to attend (when I took class) but offers good reinforcement on labs and content cons - one part of labs is a quiz section but you don't know what questions are right or wrong when you check the answers, so sometimes its hard to know what you did wrong and end up wasting extra time conclusion: take the class! he's a good professor",,,,,,,,,,
CMSC216_476,CMSC216,Christopher Kauffman,2026,2,"Was falsely accused by Kauffman last semester. Completely wrecked my relationship with UMD CS imo. He published his own statistics on AI cheating in his class which showed that at least 19.6% of the class was penalized with a grade reduction or a pending XF case (XF is an academic integrity mark which removes CS students from the major.) Even more students than that were accused. On one project, he mass accused and penalized 15% of the class for cheating using compiler-generated code or AI because they used an ""advanced"" command, even though it was listed in the class slides, project rubric, project description, textbook, and an approved linked webpage on his course site. He also said we could reference compiler-generated code for the project and even bring AI-generated notes and content to exams, which makes it really unclear about what’s actually allowed. He originally accused even more students for the same issue until realizing he had accidentally included a non-project-related file in his checker. He said he had high confidence in the accusation, and offered a 0 to those accused on the project (~2% overall grade reduction) or a one-on-one interview process where success would lead to a regrade request and failure results in a XF recommendation to OSC. Over 1/3 of the accused students still showed up despite the existential threat of taking the interview, which makes me believe that he was really throwing around accusations. Either way, Kauffman later wrote in a post that he ""was never once convinced of a student's innocence during an interview"" and those who were let go only had ""plausible deniability."" The process was extremely stressful and lacked transparency. At the end of his course, 20 students in his section went to OSC. For context, there were 50 AI-related OSC across all departments and classes at UMD for the entire year of 2023, meaning his section last semester would account for around half of that. Whether you believe it or not, I know many people who were accused, didn't cheat, and were penalized anyway, including myself. His passive aggressive comments about not giving extra credit on later projects because of the cheating cases and verbal/written rants about ""cheating"" students devaluing the CS degree before any of the cases were even resolved made the class feel toxic, distrustful, and stressful like everyone was constantly under suspicion. On top of the difficult content, the threat of being accused and kicked out of the major over one or two lines of code on a project that is flagged as suspicious could seriously impact anyone’s mental health. He may be allowing AI in future courses to avoid this issue again (or in his words, because too many people are ""cheating""), but this is my two cents. 2 stars because I learned a lot in his class as mentioned by everyone else below me.",,,,,,,,,,
CMSC216_473,CMSC216,Christopher Kauffman,2026,5,"Great professor. While he can be a bit critical and passive aggressive, he does an outstanding job at actually teaching the course content. Each topic is explained in great detail, there is a ton of resources provided outside of lecture to study and review. The course itself is also quite fun, but can be challenging. Also open note midterms and final is pretty great. Highly recommend taking him whenever possible.",,,,,,,,,,
CMSC216_474,CMSC216,Christopher Kauffman,2026,5,"Amazing professor! All lectures are recorded, exams are graded fairly, labs encourage group work and actual learning. Rewards effort in the class through small extra credit/make up credit which can help your grade if you're 1 point away from the next letter. I would highly recommend him.",,,,,,,,,,
CMSC216_433,CMSC216,Christopher Kauffman,2025,4,"Kauffman and I had our enemies to lovers arc this semester. At the beginning of the semester with the stuff introducing C, I felt he went too slow, I felt the labs were unhelpful, and I felt bored in the class. But once Kauffman got to Assembly, and especially once he got to the UNIX and hardware material at the end of the semester, he really opened my eyes to learning about computer systems in general. Professor Kauffman has an enthusiastic lecturing style---you can tell he cares a lot about our understanding of the material, and the labs and homeworks he provides really do give great practice for his exams. His exams are also challenging, but definitely fair, and the open resources were a nice touch that I genuinely used, albeit barely, but when I used it it was absolutely needed. There was never a question I did not know how to do on his exams given the practice material provides you with exact question types you might see. Professor Kauffman has a plethora of pop culture references as well which keep him feeling simultaneously like your old uncle and someone in the know. I would recommend anyone take Professor Kauffman if you value your learning and your education more than your grade. His projects are difficult, but manageable if you start early, and I never had problems submitting on time nor with the actual coding itself. If you put in the work, you will get the A you desire. I have to dock one star because he called my supreme overlord Larry Herman ""Professor"" Herman. Everyone knows the GOAT is an instructor, NOT a professor.",,,,,,,,,,
CMSC216_468,CMSC216,Christopher Kauffman,2025,5,"Amazing Professor! Lectures are very engaging and he explains things clearly. Grading is very fair and he gives lots of opportunities for bonus/make up credit. Labs and HWs are relatively easy and focus on introducing concepts. Projects are hard but not impossible and they truly teach you the material. Exams are fairly difficult but they do reflect what's taught in class and are similar to the practice exams given. If you study hard and understand the labs and projects, you can definitely do well on the exams. Re doing labs on paper or parts of projects is a great way to study, the exams usually have pretty normal coding questions with the rest being short answer. The short answer matters just as much as the coding in terms of grading which isn't bad by any means. He gives extra credit for participating in lectures and answering questions on piazza which is a great idea!! I initially was motivated to participate for the extra credit but after the first few weeks of class, I found myself participating out of genuine curiosity or just wanting to engage with the material. For piazza, this was the one class where students would always respond to questions quickly which was very helpful. Overall, Kauffman is a great professor and I'm glad I got to take this class with him!",,,,,,,,,,
CMSC216_451,CMSC216,Larry Herman,2025,2,"pros: smart dude, good demonstrations, worksheets,projects,participation is grade padding, and final exam questions are very similar to the midterm and practice exams. cons: no phones no laptops during lecture, he wastes probably 5 minutes each class stuttering or calling people out for using their phone. unforgiving n strict, slow at grading, he gatekeeps online communication and office hours behind a fat block of text and rules u gotta read (this one not that bad just annoying). multiple choice section on exams is notoriously difficult and specific, he also DOCKS POINTS FOR WRONG ANSWERS which is apparently to ""discourage guessing"" but inherently makes every second guess themself lol. we had a failing midterm average. lectures are also incredibly boring but thats expected for any cs class ig. he did curve final grades idk what the dude 2 below is sayin looking back i would take an 8am to avoid larry in a heartbeat but thats jus me",,,,,,,,,,
CMSC216_472,CMSC216,Ilchul Yoon,2025,3,"I'd like to start off by saying that he is not inherently the worst of the worst, I think that his approach at teaching is not the best, but I don't think he means it with ill-intent. I barely scraped by and ended with a 73% which resulted in a C, even after always scoring below the average on all his exams and quizzes. The way that the course was structured, at least when I took his class, was set up in a way that the projects and exercises made up a substantial part of the overall course grade. Lab works also made up a small but considerable percentage that can boost your grade by the time finals come around. If I am not mistaken at the beginning of the course, he acknowledged that his exams and quizzes were known to be difficult, but that as long as you completed the projects and exercises on time and tried your best in exams and quizzes you were going to be okay. Projects: His projects were not inherently difficult, they were at times confusing, but attending office hours and posting on Piazza ultimately cleared any confusions you may have had. Exercises could often be done in a day, but I would suggest not doing this for both exercises and projects. Lab works were also easy to complete, and we were given enough time to complete them. Just by completing these on time, you can be at a good standing before exams and quizzes tank you grade (and they will, unless you are the type to ruin the curve.) Exams/Quizzes: His exams and quizzes were confusing, tedious, and soul draining. Often times it was never truly clear what exactly we were going to be tested on. Before exams or quizzes, he would send out emails containing a list of what we had covered since the previous quiz/exam, and he would say that what was on the slides was testable material, so it would be hard to differentiate what exactly was going to be on the test/quiz. On one occasion, what he stated was going to be covered on a quiz were assembly function calls and parent-child processes; given the difficulty and notoriety of his quizzes I studied everything assembly and assembly-function call related, and only studied parent-child processes some half hour before the quiz and ultimately the quiz only contained one assembly multiple choice question and the rest of the quiz was all related to parent-child processes; this time the quiz was easier than expected, but the angst and confusion leading up to the quiz takes a toll on you. Part of the shortcomings related to quizzes and exams *could* be attributed to a student's lack of complete familiarity and understanding of the material, however, unless the only thing you have going for you is school (and that is okay, great actually, if it's the case for you - it is not often, rarely actually, for that to be the case for everyone) then it is very difficult to develop mastery of the material in time before exams and quizzes. Some topics may be covered a lecture or two before an exam/quiz and some of the questions on quizzes and exams feel like they are meant to be 'gotchas' or may be super specific to a covered topic. For example, though the understanding of unix commands is useful in various industries, some questions often relied on a lab discussion slide that may have shown some [blank] unix command that was only used then and never really again - to some students those questions may have felt like free points, but when you are handling other courses and only have a vague idea of what was to be on a quiz then, some miscellaneous unix command would feel like the least of your concerns. I personally scored poorly on exams and quizzes, at some point getting a 39% on an exam, fully tanking my grade and putting my chances to pass on the line. However, because I submitted all other projects, exercises and labs on time, my grade was brought up just enough to pass. Yoon as a person: Results may vary, but Yoon was extremely approachable and a kind understanding person. If you come to his office hours or email him, he is very helpful and he often responds to emails fast. I often stayed after class to ask clarifications or questions related to the content, so did others, and he would make sure to explain and breakdown your confusions so as to help you better understand the material. Moreover, if you maintain a clear communication with him about certain issues and difficulties, he is often willing to help and possibly grant small extensions for submissions. He is also kind of funny when you talk to him one on one. I would say, do not walk into his class seeing him as some sort of evil supervillain who sits in his office petting a cat while plotting on how to make his next exam as hard as possible. If I am not mistaken, being a professor is not his main role at the university, take a look at his extensive resume and his achievements and you sort of realize that being a professor is just a role he has to play, and he can only have so much time on his hands, so balancing all of these responsibilities may be difficult even for him. p.s. I say all this not to glaze him or hype him up, all I'm saying is that it's probably a lot of work to handle but he's kinda goated if you talk to him - ppl like to make him seem like the devil himself but he's not too bad. Yoon as a professor: Now, regarding his teaching style, it is not really the best. Attend all his lectures and you will realize that not many people show up. He likes to go into a lot of specific niche topics while teaching, and he likes to draw on his iPad to breakdown what may be happening regarding memory allocation and a lot of other visual stuff. Often times this gets confusing, as he draws on top of the slides, so it is not visually the best and easiest thing to understand unless you follow along closely. If you walk into class during these moments when he draws out topics, it looks like that one picture 'my coworker losing his damn mind.' Moreover, sometimes he goes back and forth with a lot of coding examples and slides, so it gets a little confusing to understand. It is hard to keep up sometimes and it would often require revisiting his recorded lectures to get a better grasp of a concept. On the times he does do well, then it is easy to follow along and he does a good job at walking you through some of the topics. Class logistics: Honestly not the best at all. This semester, we only found out about our exam results a couple of days before the final. Some projects take a long time to get graded, and the late submission turns on after 11 pm of the on-time submission date. Some lab works were graded the day of grade submissions, so it was difficult to truly get what your grade was throughout the semester. Honestly, it was gut wrenching not knowing where you stood before the final exam was added to the grade book. He would often curve, at some point in some semester he curved by 8% percent, but this semester he did not curve as much, only slightly so that was also gut wrenching. TLDR: Not the worst. His exams and quizzes are hard and may tank your grade, but the class is set up in a way where your grade is able to take it if you do all the other work on time. As a person he's chill, as a professor he struggles, your grade will never be truly clear until the day grades are due. If you have to take him because every other section is closed prepare for a rough semester but if you show up and do your best you should be good. Not truly the end of the world, but you will have to put your head down to make it through.",,,,,,,,,,
CMSC216_470,CMSC216,Christopher Kauffman,2025,5,"All of the projects, homeworks, labs are very useful and relevant for the exams. Nothing in this class is that difficult, but make sure to start on all projects as soon as possible. Kauffman is always heavy on catching cheating on the projects; just give them your best honest attempt and I promise you'll be fine. His slides are very wordy and often contain a lot of useless information, and you're meant to rely more on your own work for the exams (they are open resource). Kauffman is by far the best choice for 216 right now and it's not really close.",,,,,,,,,,
CMSC216_447,CMSC216,Christopher Kauffman,2025,3,"This class wasn't too bad, but it really did not feel as rewarding as how the other reviews said. The structure of the class was split upon 5 projects, 2 exams and a final, hw ""quizzes"" (they're incredibly easy), and labs. The projects were quite difficult in my opinion (3 and 4 were the worst but in different ways I'll explain later), but they were good practice. PLEASE DO NOT GPT THEM, AND PLEASE START THEM EARLY (trust me you will thank me). They are designed in a way that is quite different from 132, they are very long and test the information covered very thoroughly, but it is good preparation for the exams. I thought projects 1, 2, and 5 were relatively straight forward with a decent difficulty, project 3 was pretty difficult because Assembly is just like that, but project 4 was really hard because it was assigned late (giving us less time to do it), but it was an added difficulty to figure out which tests were actually passing because it would work half of the time due to the concurrency (sometimes, tests would pass on grace, but completely fail on gradescope). The exams were actually not that bad, they tested content covered in the most recent project to the date of the exam, and were open note. But I think the open note concept is kind of misleading, it doesn't make the exam easier, it just made it a different kind of test, covering applications of topics rather than fundamentals which you may be used to from previous courses. The labs and hw were good practice if you diligently did them, and were overall pretty free grades. Kauffman did pretty unique system for participation called engagement points, which was counted under the labs you completed, but any extra lecture participation or piazza participation would be counted as bonus, which was pretty nice. The content covered wasn't really too difficult in my opinion, but I felt lectures were pretty pointless. His slides I felt made the content way more complicated than it needed to be, and his speaking was way too technical and not easily digestible. During discussion, a lot of times it felt the TAs couldn't really give me in depth answers for questions, and mainly just went over the labs. As a result, most of the time I would learn either reading the textbook or yt vids. A lot of times too, the way Kauffman focused on materials was more related to computer hardware than the coding, which made it feel more applicable for Computer Engineering majors, and I felt like the mateiral I was learning was kinda useless compared to how other teachers taught it. Some of the reviews talked about him being condescending, others talked about him being super nice, I thought he was fine overall in approachability, but like none of the extremes. TL;DR: Kauffman is a fine professor, but I felt a lot of the reviews are rating him higher than he should be. The course content isn't too difficult, but sometimes it was pretty frustrating using the terminal and grace, and its just overall a very different experience from previous courses. Once again DO NOT GPT PROJECTS, START THEM ON DAY 1 - you will suffer the consequences otherwise trust me.",,,,,,,,,,
CMSC216_442,CMSC216,Larry Herman,2025,1,"Goes on rants during class and wastes valuable class time correcting students on their phones and trying to pick up from where he left off. He wastes like an average of 2 minutes per lecture doing this. Projects are horrendously long, he likes to throw stupid curveball questions on exams, won't teach certain chapters from the book and just assigns it as reading and then tests hard on it on exams like you're a jackass with a blindfold. Discussions are pointless besides picking up the worksheet, which most of the time can be done alone outside of discussion time. If you have a tight, hard schedule in your semester coming up, don't take this guy as he's like a greedy goblin taking up your valuable study time like it's gold.",,,,,,,,,,
CMSC216_463,CMSC216,Ilchul Yoon,2025,5,"I genuinely like Yoon as a professor and of the CS professors I've had at UMD so far, Yoon is my favorite. Though it's obvious I'm odd in that. He's really nice and will happily answer any questions you have, and its very clear he cares about teaching the class and students success. I don't think there's anything that feels unfair at any point, and he often puts up clarifications (or honestly borderline hints) for exams/quizzes part way through for common clarifications. I think the projects could have clearer explanations on the assignment docs, but I think some of that comes down to real-world edge cases or behavior vs what they want to and can test in a class project sometimes not lining up exactly. I will say, the TAs were very hit or miss this semester and any real complaints I do have about the course come down to that, since the grading can take a while and some of the responses on piazza were not the best.",,,,,,,,,,
CMSC250_525,CMSC250,Fawzi Emad,2026,5,"THE GOAT! Very good lecturer, the quizzes are very similar to the homework and worksheets. Even his exams aren't very difficult if you do the problems from class and discussions. He does speak a bit fast, but it's a fun class, and he's super funny! Honestly, the reason why I got a bad grade was mostly on me.",,,,,,,,,,
CMSC250_524,CMSC250,Fawzi Emad,2026,5,"Fawzi is a very good lecturer and breaks down topics very well. The quizzes and tests are honestly not very difficult, and there are never any surprises. Make sure you come to every class and pay attention during lecture, which is easy to do considering that Fawzi is an entertaining lecturer. Getting the grade you want shouldn't be too hard as long as you spend a bit of time reviewing for each test and go to discussion.",,,,,,,,,,
CMSC250_526,CMSC250,Fawzi Emad,2026,5,"Amazing professor. Teaches well and is very passionate. Quizzes were easy, and the midterms + final were all fair.",,,,,,,,,,
CMSC250_479,CMSC250,Maksym Morawski,2025,2,"Max is genuinely a very disorganized professor, his lectures at the beginning of the semester started off with lots of mistakes, errors, and he tends to go through material a lot quicker than necessary. Closer to the middle of semester he started getting better for lectures but it always felt like he came in unprepared for what he was going to teach and as if he didn't even review the slideshow he would be putting on the screen. Additionally there was a huge lack of timely completion for our homeworks and exams and it constantly felt like we were guessing what our grade in the class was. Piazza responses from the instructors were also so limited and it felt like the TAs also had no idea what was going on. Most of them barely responded to questions in Piazza. Grading: Pros: - very good weight distribution where 50% of the grade from discussion worksheets and homework - 3 exams and a final was nice because each exam was less weight (12%, 12%, 12%, 14%) - Extra credit (.05%) for things such as piazza posts, every 3 lecture notes and in class practices Cons: - exams were all over the place, with the first two exam averages being in the 70's range - first exam had a question that Max wasn't even able to fully solve in lecture - homework grading was much harsher than expected considering in lecture Max would often skip steps that the homeworks expected us to provide",,,,,,,,,,
CMSC250_512,CMSC250,Mohammad Nayeem Teli,2025,4,"Decent professor. Definitely cares about what he's teaching an explains concepts really well. He is slightly slower and doesn't cover as much content as other professors though. Grade consists of weekly quizzes, homework, 2 midterms, and a final. Quizzes are pretty hit or miss, but eventually you get the hang of it. Personally, I felt the quizzes were harder than the exams cuz they kind of test you on trickier stuff. Homeworks are definitely hard but are good preparation for the exam in terms of what to expect. Start on them early and ask TAs about any questions you have to maximize your grade for them. Exams are pretty easy. If you just study for them, you're guaranteed a 90+. They are straightforward questions and even if you can't figure out a proof, you can reason your way to something to get most of the credit. Grading can be a bit harsh for homework assignments and sometimes the quizzes as well, but just submit a regrade or ask Teli and he can fix it. The final wasn't actually a final. It was just a third midterm. Only covered whatever we learned after the 2nd midterm. Was also about the same length as the other midterms, maybe slightly longer, but you get twice the amount of time. Overall, I thought it was a well ran class. Because it is a discrete math course, some of the things might not click immediately. But he records lectures so you can look back at them and if you go to his office hours, he is very open to answering any questions or doubts you have. I would definitely say Teli is a good option for 250",,,,,,,,,,
CMSC250_518,CMSC250,Mohammad Nayeem Teli,2025,5,"Pretty good professor! Lectures aren't super engaging but they get the job done. Concepts are explained pretty clearly and while I did leave some lectures confused, I found rewatching the recordings always helped me understand the material. All lectures were recorded and his handwritten notes showed up in the recording and they were also posted as pdfs to canvas. Homeworks were a bit difficult but were VERY helpful in preparing students for the exams. He gives weekly quizzes in discussions, always on Wednesday's, and these were alright. The pressure of a weekly quiz does force you to stay on top of the material which sounds bad but I felt it made it so that I barley had to study for the midterms since I had put effort into learning the material for the quizzes. The exams themselves are not overly difficult, they do reflect what's taught and have very fair grading. He also rounded up grades if you were 1% away from a different letter grade, and while that didn't benefit me, it was still very generous of him to do. In general, Teli is a very good professor and worth taking!",,,,,,,,,,
CMSC250_509,CMSC250,Mohammad Nayeem Teli,2025,4,"Alright professor. Teaches well and goes in depth on topics. Exams and really easy, much easier than the quizzes and homework assignments. Pretty similar to the practice exams he provides in terms of difficulty. The only downside are the quizzes. They are pretty hit or miss, and you have study a good amount to do well on it. They are a pretty small part of your grade though so it isn't too bad. Homeworks aren't bad but can take time to complete, so start early. The questions are pretty difficult and the format of answers can be a bit abstract. Definitely to office hours to make sure your doing things correctly. Overall, the class isn't too bad. Lectures can be a bit boring or confusing, but just watch the lecture videos and you should be fine. He's a really nice person and does a good job in explaining concepts. Would definitely recommend for 250l",,,,,,,,,,
